"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 14 12:09:24 IST 2022","Sun Aug 14 12:09:36 IST 2022","11899","","tests/assertions1.spec.ts","","","","my test",""
"passed","Mon Aug 15 18:57:15 IST 2022","Mon Aug 15 18:57:21 IST 2022","5744","","tests/sampletest1.spec.ts","Sample","","","Sample test",""
"passed","Sun Aug 14 12:09:24 IST 2022","Sun Aug 14 12:09:28 IST 2022","3913","","tests/example1.spec.ts","","","","basic test",""
"failed","Mon Aug 15 18:57:21 IST 2022","Mon Aug 15 18:57:27 IST 2022","6327","","tests/sampletest1.spec.ts","Sample","","","Sample test 2",""
"failed","Mon Aug 15 17:41:00 IST 2022","Mon Aug 15 17:41:10 IST 2022","9893","","tests/test1.spec.ts","","","","getting started should contain table of contents",""
"failed","Mon Aug 15 13:30:52 IST 2022","Mon Aug 15 13:31:16 IST 2022","24382","","tests/example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Mon Aug 15 13:30:52 IST 2022","Mon Aug 15 13:31:00 IST 2022","7553","","tests/sampletest1.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Mon Aug 15 18:57:28 IST 2022","Mon Aug 15 18:57:33 IST 2022","5480","","tests/sampletest1.spec.ts","Sample","","","Sample test 3",""
"failed","Mon Aug 15 02:22:48 IST 2022","Mon Aug 15 02:23:02 IST 2022","14129","","tests/sampletest1.spec.ts","Sample test","","","homepage has Playwright in title and get started link linking to the intro page",""
"failed","Mon Aug 15 17:41:11 IST 2022","Mon Aug 15 17:41:21 IST 2022","10033","","tests/test1.spec.ts","","","","should show Page Object Model article",""
